"24.12.2021","17,7100","18,1700","18,1800","17,4200","2,88M","-2,48%"
"23.12.2021","18,1600","16,2200","18,2500","15,9200","4,14M","11,89%"
"22.12.2021","16,2300","15,0500","16,3500","14,9700","2,47M","7,70%"
"21.12.2021","15,0700","14,5100","15,1000","14,3200","1,10M","4,00%"
"20.12.2021","14,4900","14,9400","15,1600","13,9800","1,82M","-3,14%"
"19.12.2021","14,9600","15,5700","15,9600","14,8400","1,59M","-3,98%"
"18.12.2021","15,5800","14,9700","16,1000","14,6800","2,70M","3,87%"
"17.12.2021","15,0000","14,4100","15,0900","13,7000","1,79M","4,09%"
"16.12.2021","14,4100","15,1900","15,3700","14,3600","2,16M","-5,07%"
"15.12.2021","15,1800","14,9800","15,5000","14,1900","2,19M","1,20%"
"14.12.2021","15,0000","14,1600","15,0600","13,9300","1,35M","5,93%"
"13.12.2021","14,1600","16,0000","16,0900","13,7800","1,99M","-11,72%"
"12.12.2021","16,0400","15,9000","16,1900","15,2700","987,59K","1,07%"
"11.12.2021","15,8700","15,1500","16,7200","14,9800","1,95M","4,82%"
"10.12.2021","15,1400","16,2000","16,5300","15,1200","2,35M","-6,43%"
"09.12.2021","16,1800","18,7500","18,7700","16,1300","2,11M","-13,43%"
"08.12.2021","18,6900","17,1400","18,6900","16,9800","2,08M","8,92%"
"07.12.2021","17,1600","17,2900","17,6500","16,9300","1,72M","-1,04%"
"06.12.2021","17,3400","16,5600","17,4900","15,1800","2,27M","4,90%"
"05.12.2021","16,5300","17,2100","17,4600","15,8900","2,26M","-4,06%"
"04.12.2021","17,2300","19,9400","20,0200","13,4200","7,59M","-13,68%"
"03.12.2021","19,9600","22,4000","23,0100","19,4300","2,89M","-11,09%"
"02.12.2021","22,4500","20,9400","23,0300","20,5500","4,26M","7,16%"
"01.12.2021","20,9500","21,2600","22,2700","20,7800","1,87M","-1,41%"
"30.11.2021","21,2500","20,2500","21,4400","19,6200","1,70M","4,78%"
"29.11.2021","20,2800","20,1100","20,4700","19,6900","1,14M","0,60%"
